# L	D_L^MCN0
8.0400e+02	5.0319e-06
8.0500e+02	4.9983e-06
8.0600e+02	4.8110e-06
8.0700e+02	5.1155e-06
8.0800e+02	4.9482e-06
8.0900e+02	5.0283e-06
8.1000e+02	5.1936e-06
8.1100e+02	5.2674e-06
8.1200e+02	4.7260e-06
8.1300e+02	4.8766e-06
8.1400e+02	5.4783e-06
8.1500e+02	5.1372e-06
8.1600e+02	5.3214e-06
8.1700e+02	4.8273e-06
8.1800e+02	5.4047e-06
8.1900e+02	5.6650e-06
8.2000e+02	5.2529e-06
8.2100e+02	5.6862e-06
8.2200e+02	5.7841e-06
8.2300e+02	6.3581e-06
8.2400e+02	6.2547e-06
8.2500e+02	5.5641e-06
8.2600e+02	5.4119e-06
8.2700e+02	5.9669e-06
8.2800e+02	6.5288e-06
8.2900e+02	5.9323e-06
8.3000e+02	6.3104e-06
8.3100e+02	6.6420e-06
8.3200e+02	6.4324e-06
8.3300e+02	5.5143e-06
8.3400e+02	5.6799e-06
8.3500e+02	6.2100e-06
8.3600e+02	6.6983e-06
8.3700e+02	6.9293e-06
8.3800e+02	6.0541e-06
8.3900e+02	6.1839e-06
8.4000e+02	7.6090e-06
8.4100e+02	6.4420e-06
8.4200e+02	7.5503e-06
8.4300e+02	7.2181e-06
8.4400e+02	6.6280e-06
8.4500e+02	7.8964e-06
8.4600e+02	6.9680e-06
8.4700e+02	6.8301e-06
8.4800e+02	6.6083e-06
8.4900e+02	7.2615e-06
8.5000e+02	7.7877e-06
8.5100e+02	8.5099e-06
8.5200e+02	6.9694e-06
8.5300e+02	6.7381e-06
8.5400e+02	7.7067e-06
8.5500e+02	8.1301e-06
8.5600e+02	8.3226e-06
8.5700e+02	8.5527e-06
8.5800e+02	9.0313e-06
8.5900e+02	8.1590e-06
8.6000e+02	7.5658e-06
8.6100e+02	8.4478e-06
8.6200e+02	8.0035e-06
8.6300e+02	8.0749e-06
8.6400e+02	8.5243e-06
8.6500e+02	8.0795e-06
8.6600e+02	8.0803e-06
