# L	D_L^phi phi
8.3500e+02	8.8857e-09
8.3600e+02	8.8691e-09
8.3700e+02	8.8526e-09
8.3800e+02	8.8361e-09
8.3900e+02	8.8197e-09
8.4000e+02	8.8033e-09
8.4100e+02	8.7870e-09
8.4200e+02	8.7707e-09
8.4300e+02	8.7545e-09
8.4400e+02	8.7383e-09
8.4500e+02	8.7221e-09
8.4600e+02	8.7060e-09
8.4700e+02	8.6899e-09
8.4800e+02	8.6739e-09
8.4900e+02	8.6579e-09
8.5000e+02	8.6420e-09
8.5100e+02	8.6261e-09
8.5200e+02	8.6103e-09
8.5300e+02	8.5945e-09
8.5400e+02	8.5787e-09
8.5500e+02	8.5630e-09
8.5600e+02	8.5473e-09
8.5700e+02	8.5317e-09
8.5800e+02	8.5161e-09
8.5900e+02	8.5005e-09
8.6000e+02	8.4850e-09
8.6100e+02	8.4696e-09
8.6200e+02	8.4542e-09
8.6300e+02	8.4388e-09
8.6400e+02	8.4234e-09
8.6500e+02	8.4081e-09
8.6600e+02	8.3929e-09
8.6700e+02	8.3777e-09
8.6800e+02	8.3625e-09
8.6900e+02	8.3474e-09
8.7000e+02	8.3323e-09
