 #L        TxT           TxE           TxP           TxW1          ExT           ExE           ExP           ExW1          PxT           PxE           PxP           PxW1          W1xT          W1xE          W1xP         W1xW1       
73    1.935292e+03 -7.087972e+00  5.239034e-04  3.283303e-02 -7.087972e+00  3.673302e-01 -1.040252e-06  4.621384e-06  5.239034e-04 -1.040252e-06  1.194760e-07  7.962011e-06  3.283303e-02  4.621384e-06  7.962011e-06  1.057600e-03
74    1.960382e+03 -7.572774e+00  5.162780e-04  3.246653e-02 -7.572774e+00  3.811538e-01 -9.576874e-07  4.243848e-06  5.162780e-04 -9.576874e-07  1.187972e-07  7.979478e-06  3.246653e-02  4.243848e-06  7.979478e-06  1.073819e-03
75    1.985827e+03 -8.069979e+00  5.088796e-04  3.210583e-02 -8.069979e+00  3.951716e-01 -8.673479e-07  3.888903e-06  5.088796e-04 -8.673479e-07  1.181171e-07  7.995953e-06  3.210583e-02  3.888903e-06  7.995953e-06  1.089985e-03
76    2.011584e+03 -8.579050e+00  5.016759e-04  3.175108e-02 -8.579050e+00  4.093694e-01 -7.811232e-07  3.588870e-06  5.016759e-04 -7.811232e-07  1.174360e-07  8.011468e-06  3.175108e-02  3.588870e-06  8.011468e-06  1.106098e-03
77    2.037526e+03 -9.098533e+00  4.946446e-04  3.140220e-02 -9.098533e+00  4.237366e-01 -7.057396e-07  3.340316e-06  4.946446e-04 -7.057396e-07  1.167542e-07  8.026074e-06  3.140220e-02  3.340316e-06  8.026074e-06  1.122163e-03
78    2.063638e+03 -9.627972e+00  4.877656e-04  3.105910e-02 -9.627972e+00  4.382610e-01 -6.466324e-07  3.130875e-06  4.877656e-04 -6.466324e-07  1.160720e-07  8.039823e-06  3.105910e-02  3.130875e-06  8.039823e-06  1.138181e-03
79    2.089962e+03 -1.016721e+01  4.810189e-04  3.072165e-02 -1.016721e+01  4.529313e-01 -6.092370e-07  2.948178e-06  4.810189e-04 -6.092370e-07  1.153899e-07  8.052770e-06  3.072165e-02  2.948178e-06  8.052770e-06  1.154157e-03
80    2.116519e+03 -1.071622e+01  4.743847e-04  3.038976e-02 -1.071622e+01  4.677361e-01 -5.989887e-07  2.779857e-06  4.743847e-04 -5.989887e-07  1.147084e-07  8.064967e-06  3.038976e-02  2.779857e-06  8.064967e-06  1.170096e-03
81    2.143333e+03 -1.127478e+01  4.678456e-04  3.006331e-02 -1.127478e+01  4.826640e-01 -6.190815e-07  2.615947e-06  4.678456e-04 -6.190815e-07  1.140277e-07  8.076466e-06  3.006331e-02  2.615947e-06  8.076466e-06  1.186000e-03
82    2.170415e+03 -1.184247e+01  4.613952e-04  2.974226e-02 -1.184247e+01  4.977051e-01 -6.637436e-07  2.456102e-06  4.613952e-04 -6.637436e-07  1.133483e-07  8.087304e-06  2.974226e-02  2.456102e-06  8.087304e-06  1.201871e-03
83    2.197744e+03 -1.241903e+01  4.550298e-04  2.942658e-02 -1.241903e+01  5.128478e-01 -7.249618e-07  2.302376e-06  4.550298e-04 -7.249618e-07  1.126703e-07  8.097518e-06  2.942658e-02  2.302376e-06  8.097518e-06  1.217710e-03
84    2.225319e+03 -1.300390e+01  4.487457e-04  2.911623e-02 -1.300390e+01  5.280816e-01 -7.947231e-07  2.156826e-06  4.487457e-04 -7.947231e-07  1.119940e-07  8.107144e-06  2.911623e-02  2.156826e-06  8.107144e-06  1.233521e-03
